size_tier,weight_class,service_tier,to_country,low_rate,average_rate,high_rate
Small Box,Light,International Economy,CR,16.3,16.3,16.3
Small Box,Light,International Economy,DE,10.35,10.71,11.87
Small Box,Light,International Economy,DK,14.05,14.05,14.05
Small Box,Light,International Economy,ES,12.37,13.86,14.05
Small Box,Light,International Economy,FR,10.35,11.68,11.87
Small Box,Light,International Economy,GB,10.35,11.04,14.05
Small Box,Light,International Economy,GT,16.3,16.3,16.3
Small Box,Light,International Economy,HK,11.38,11.38,11.38
Small Box,Light,International Economy,ID,14.87,14.87,14.87
Small Box,Light,International Economy,IL,13.0,13.0,13.0
Small Box,Light,International Economy,IN,14.04,14.04,14.04
Small Box,Light,International Economy,JP,9.89,11.03,11.61
Small Box,Light,International Economy,KR,9.89,11.26,11.6
Small Box,Light,International Economy,MN,192.16,192.16,192.16
Small Box,Light,International Economy,MX,8.24,8.94,9.27
Small Box,Light,International Economy,MY,12.04,12.04,12.04
Small Box,Light,International Economy,NL,10.35,11.0,11.87
Small Box,Light,International Economy,NO,12.37,12.37,12.37
Small Box,Light,International Economy,PE,16.3,16.3,16.3
Small Box,Light,International Economy,PL,18.87,18.87,18.87
Small Box,Light,International Economy,PT,14.05,14.05,14.05
Small Box,Light,International Economy,PY,16.3,16.3,16.3
Small Box,Light,International Economy,RO,18.87,18.87,18.87
Small Box,Light,International Economy,SE,14.05,14.05,14.05
Small Box,Light,International Economy,SG,10.32,11.23,11.38
Small Box,Light,International Economy,TR,13.0,13.0,13.0
Small Box,Light,International Economy,TT,10.33,10.33,10.33
Small Box,Light,International Economy,TW,11.38,11.38,11.38
Small Box,Light,International Economy,UA,19.0,19.0,19.0
Small Box,Light,International Expedited,CN,34.22,34.22,34.22
Small Box,Light,International Expedited,ES,37.27,37.27,37.27
Small Box,Light,International Expedited,FR,35.25,35.25,35.25
Small Box,Light,International Expedited,GB,78.41,78.41,78.41
Small Box,Light,International Standard,AT,26.34,30.94,33.31
Small Box,Light,International Standard,AU,29.07,65.5,101.88
Small Box,Light,International Standard,BD,26.84,26.91,26.95
Small Box,Light,International Standard,BE,25.05,26.67,29.62
Small Box,Light,International Standard,BO,35.79,36.07,36.23
Small Box,Light,International Standard,CA,21.52,32.07,98.01
Small Box,Light,International Standard,CH,29.2,31.06,34.01
Small Box,Light,International Standard,CY,27.97,28.02,28.08
Small Box,Light,International Standard,CZ,27.48,32.52,36.8
Small Box,Light,International Standard,DE,25.0,28.64,30.28
Small Box,Light,International Standard,DK,26.07,28.75,29.38
Small Box,Light,International Standard,ES,26.07,29.59,33.31
Small Box,Light,International Standard,FI,26.07,40.04,99.06
Small Box,Light,International Standard,FR,25.0,27.36,40.05
Small Box,Light,International Standard,GB,25.0,28.28,30.48
Small Box,Light,International Standard,GR,99.06,100.18,102.43
Small Box,Light,International Standard,HU,31.31,35.63,39.54
Small Box,Light,International Standard,IE,25.53,26.91,29.68
Small Box,Light,International Standard,IL,26.31,27.45,28.08
Small Box,Light,International Standard,IT,25.53,30.49,98.75
Small Box,Light,International Standard,JO,28.72,28.72,28.72
Small Box,Light,International Standard,JP,23.7,24.12,24.44
Small Box,Light,International Standard,KE,25.42,25.42,25.42
Small Box,Light,International Standard,KR,23.75,23.99,24.24
Small Box,Light,International Standard,MK,25.42,25.42,25.42
Small Box,Light,International Standard,MT,25.42,28.34,31.27
Small Box,Light,International Standard,MX,19.39,19.53,19.66
Small Box,Light,International Standard,MY,32.13,32.13,32.13
Small Box,Light,International Standard,NL,25.53,28.5,29.68
Small Box,Light,International Standard,NO,29.38,29.38,29.38
Small Box,Light,International Standard,PH,29.07,44.19,98.61
Small Box,Light,International Standard,PL,27.8,32.54,37.03
Small Box,Light,International Standard,PT,26.07,42.58,98.86
Small Box,Light,International Standard,QA,27.97,27.97,27.97
Small Box,Light,International Standard,RO,27.32,27.32,27.32
Small Box,Light,International Standard,SE,26.54,39.01,99.06
Small Box,Light,International Standard,SI,31.84,31.84,31.84
Small Box,Light,International Standard,SK,27.32,27.48,27.8
Small Box,Light,International Standard,TW,25.08,25.08,25.08
Small Box,Light,International Standard,UY,36.23,36.23,36.23
Small Box,Light,International Standard,VN,32.6,32.6,32.6
Small Box,Light,International Standard,ZA,27.8,32.01,32.97
Small Box,Medium,Domestic 2 Day,US,15.65,22.75,33.27
Small Box,Medium,Domestic Economy,PR,9.74,9.74,9.74
Small Box,Medium,Domestic Economy,US,5.85,8.55,276.01
Small Box,Medium,Domestic Expedited,US,11.45,19.34,25.43
Small Box,Medium,Domestic Ground,PR,27.81,27.81,27.81
Small Box,Medium,Domestic Ground,US,7.15,11.39,18.51
Small Box,Medium,Domestic Next Day,US,26.86,40.78,49.24
Small Box,Medium,Domestic Next Day Early AM,US,145.41,145.41,145.41
Small Box,Medium,International Economy,AU,14.87,40.54,70.33
Small Box,Medium,International Economy,BR,16.3,16.3,16.3
Small Box,Medium,International Economy,CA,14.12,14.12,14.12
Small Box,Medium,International Economy,DE,11.87,11.99,12.23
Small Box,Medium,International Economy,ES,28.22,28.22,28.22
Small Box,Medium,International Economy,GB,11.87,12.87,13.87
Small Box,Medium,International Economy,JP,11.6,11.94,12.62
Small Box,Medium,International Economy,KR,11.6,11.6,11.6
Small Box,Medium,International Economy,MX,9.27,9.27,9.27
Small Box,Medium,International Economy,PF,189.22,189.22,189.22
Small Box,Medium,International Economy,PH,16.8,16.8,16.8
Small Box,Medium,International Economy,UA,35.46,51.57,65.85
Small Box,Medium,International Expedited,AT,37.31,37.31,37.31
Small Box,Medium,International Expedited,AU,34.51,42.67,109.08
Small Box,Medium,International Expedited,BD,58.74,58.74,58.74
Small Box,Medium,International Expedited,BE,31.03,32.54,34.05
Small Box,Medium,International Expedited,CA,26.23,29.27,31.29
Small Box,Medium,International Expedited,DE,31.03,35.32,37.85
Small Box,Medium,International Expedited,DK,35.56,37.51,39.85
Small Box,Medium,International Expedited,ES,39.35,44.34,60.4
Small Box,Medium,International Expedited,FI,37.31,89.5,107.21
Small Box,Medium,International Expedited,FR,30.79,33.52,37.85
Small Box,Medium,International Expedited,GB,30.86,34.62,37.85
Small Box,Medium,International Expedited,GR,110.99,110.99,110.99
Small Box,Medium,International Expedited,HU,52.1,55.42,59.88
Small Box,Medium,International Expedited,IE,51.59,51.59,51.59
Small Box,Medium,International Expedited,KE,55.47,55.47,55.47
Small Box,Medium,International Expedited,LV,58.64,58.64,58.64
Small Box,Medium,International Expedited,MK,55.46,55.46,55.46
Small Box,Medium,International Expedited,MT,85.17,85.17,85.17
Small Box,Medium,International Expedited,MY,39.72,39.72,39.72
Small Box,Medium,International Expedited,NL,31.22,33.12,35.03
Small Box,Medium,International Expedited,NZ,36.63,39.44,42.26
Small Box,Medium,International Expedited,PH,34.51,56.87,109.08
Small Box,Medium,International Expedited,PL,48.31,52.84,56.08
Small Box,Medium,International Expedited,PT,37.11,37.11,37.11
Small Box,Medium,International Expedited,QA,35.78,35.78,35.78
Small Box,Medium,International Expedited,RE,55.47,55.47,55.47
Small Box,Medium,International Expedited,SE,37.31,37.35,37.39
Small Box,Medium,International Expedited,SK,52.34,53.31,54.28
Small Box,Medium,International Standard,AT,33.17,33.39,33.8
Small Box,Medium,International Standard,AU,32.0,43.9,107.58
Small Box,Medium,International Standard,BA,31.69,36.72,39.27
Small Box,Medium,International Standard,BE,25.53,29.41,55.29
Small Box,Medium,International Standard,BN,28.31,28.31,28.31
Small Box,Medium,International Standard,BR,35.87,35.9,36.23
Small Box,Medium,International Standard,CA,21.52,27.58,97.53
Small Box,Medium,International Standard,CH,29.32,34.15,37.85
Small Box,Medium,International Standard,CY,28.08,29.11,31.09
Small Box,Medium,International Standard,CZ,32.97,35.5,43.6
Small Box,Medium,International Standard,DE,25.53,30.49,52.64
Small Box,Medium,International Standard,DK,29.2,31.66,53.17
Small Box,Medium,International Standard,EC,36.23,36.23,36.23
Small Box,Medium,International Standard,EE,33.23,36.11,38.99
Small Box,Medium,International Standard,ES,29.14,38.74,106.49
Small Box,Medium,International Standard,FI,29.2,63.86,104.21
Small Box,Medium,International Standard,FR,25.53,29.82,48.85
Small Box,Medium,International Standard,GB,25.53,30.12,34.84
Small Box,Medium,International Standard,GR,33.17,61.65,103.77
Small Box,Medium,International Standard,HN,36.23,36.23,36.23
Small Box,Medium,International Standard,HU,32.83,38.57,43.87
Small Box,Medium,International Standard,IE,25.63,26.81,33.98
Small Box,Medium,International Standard,IL,28.08,30.4,32.42
Small Box,Medium,International Standard,IT,25.53,32.6,100.79
Small Box,Medium,International Standard,JP,24.44,25.2,29.71
Small Box,Medium,International Standard,KE,31.69,35.76,39.83
Small Box,Medium,International Standard,LV,33.23,33.23,33.23
Small Box,Medium,International Standard,MK,31.72,35.92,40.11
Small Box,Medium,International Standard,MT,31.46,37.21,40.11
Small Box,Medium,International Standard,MX,19.7,20.52,23.76
Small Box,Medium,International Standard,MY,32.0,36.93,64.59
Small Box,Medium,International Standard,NL,25.63,29.25,34.53
Small Box,Medium,International Standard,NO,29.2,31.9,37.56
Small Box,Medium,International Standard,NP,97.08,97.08,97.08
Small Box,Medium,International Standard,NZ,32.0,34.68,37.2
Small Box,Medium,International Standard,PH,32.0,51.05,107.58
Small Box,Medium,International Standard,PK,27.01,28.94,32.43
Small Box,Medium,International Standard,PL,32.83,37.24,43.6
Small Box,Medium,International Standard,PT,29.2,39.06,100.48
Small Box,Medium,International Standard,QA,28.08,28.08,28.08
Small Box,Medium,International Standard,RE,31.21,31.21,31.21
Small Box,Medium,International Standard,RO,33.51,37.63,39.83
Small Box,Medium,International Standard,RS,39.27,39.27,39.27
Small Box,Medium,International Standard,SE,29.2,32.46,37.56
Small Box,Medium,International Standard,SG,24.99,24.99,24.99
Small Box,Medium,International Standard,SI,36.8,39.1,42.98
Small Box,Medium,International Standard,SK,32.83,35.93,39.83
Small Box,Medium,International Standard,TW,25.15,25.15,25.15
Small Box,Medium,International Standard,UA,115.82,117.06,118.29
Small Box,Medium,International Standard,UY,36.23,36.23,36.23
Small Box,Medium,International Standard,ZA,32.97,34.28,39.54
Small Box,Very Heavy,Domestic 2 Day,US,29.11,85.12,269.47
Small Box,Very Heavy,Domestic Economy,US,6.82,8.1,9.39
Small Box,Very Heavy,Domestic Ground,PR,119.64,119.64,119.64
Small Box,Very Heavy,Domestic Ground,US,10.23,25.44,60.13
Small Box,Very Heavy,International Expedited,CA,131.74,131.74,131.74
Small Box,Very Heavy,International Expedited,DE,60.88,254.84,448.8
Small Box,Very Heavy,International Standard,JP,130.07,130.07,130.07
XL/Custom,Heavy,Domestic 2 Day,US,45.79,74.24,99.49
XL/Custom,Heavy,Domestic Economy,US,22.11,71.09,116.56
XL/Custom,Heavy,Domestic Ground,US,16.35,31.97,99.32
XL/Custom,Heavy,Domestic Next Day,US,136.72,156.29,166.07
XL/Custom,Heavy,International Economy,AU,18.74,18.74,18.74
XL/Custom,Heavy,International Economy,DE,18.82,18.82,18.82
XL/Custom,Heavy,International Economy,JP,16.28,16.28,16.28
XL/Custom,Heavy,International Economy,TW,43.83,43.83,43.83
XL/Custom,Heavy,International Expedited,MX,138.82,138.82,138.82
XL/Custom,Heavy,International Standard,AU,200.98,200.98,200.98
XL/Custom,Heavy,International Standard,BE,118.22,118.22,118.22
XL/Custom,Heavy,International Standard,CA,85.93,87.55,96.89
XL/Custom,Heavy,International Standard,CL,216.59,216.59,216.59
XL/Custom,Heavy,International Standard,CN,175.41,175.41,175.41
XL/Custom,Heavy,International Standard,DE,104.87,113.77,118.22
XL/Custom,Heavy,International Standard,FR,126.85,126.85,126.85
XL/Custom,Heavy,International Standard,GB,122.8,122.8,122.8
XL/Custom,Heavy,International Standard,IE,122.8,122.8,122.8
XL/Custom,Heavy,International Standard,IT,104.87,104.87,104.87
XL/Custom,Heavy,International Standard,JP,113.67,122.33,139.65
XL/Custom,Heavy,International Standard,MX,73.94,74.92,75.91
XL/Custom,Heavy,International Standard,NZ,200.98,200.98,200.98
XL/Custom,Heavy,International Standard,TW,120.44,120.44,120.44
XL/Custom,Light,International Standard,PH,327.1,327.1,327.1
XL/Custom,Medium,Domestic 2 Day,US,64.26,64.26,64.26
XL/Custom,Medium,Domestic Ground,US,39.61,58.41,88.46
XL/Custom,Very Heavy,Domestic 2 Day,US,35.42,149.17,438.13
XL/Custom,Very Heavy,Domestic Economy,US,36.92,94.22,173.91
XL/Custom,Very Heavy,Domestic Ground,US,15.71,45.42,181.54
XL/Custom,Very Heavy,Domestic Next Day,US,89.85,211.12,631.49
XL/Custom,Very Heavy,Domestic Next Day Early AM,US,351.47,537.87,631.07
XL/Custom,Very Heavy,International Expedited,CA,148.52,204.82,214.32
XL/Custom,Very Heavy,International Expedited,JP,132.83,132.83,132.83
XL/Custom,Very Heavy,International Expedited,SG,261.18,261.18,261.18
XL/Custom,Very Heavy,International Standard,CA,123.59,150.71,162.4
XL/Custom,Very Heavy,International Standard,DE,0.01,717.61,3418.66
XL/Custom,Very Heavy,International Standard,DK,273.59,273.59,273.59
XL/Custom,Very Heavy,International Standard,GB,160.85,160.85,160.85
XL/Custom,Very Heavy,International Standard,IE,229.52,229.52,229.52
XL/Custom,Very Heavy,International Standard,JP,172.59,172.59,172.59
XL/Custom,Very Heavy,International Standard,PH,327.1,327.1,327.1
XL/Custom,Very Heavy,International Standard,SE,343.42,343.42,343.42
